gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
PGBD5	Tumor-loss LOCKs	common PMDs	0.317732687162794	breastNormalVsTN_Basal.T	Tumor	0.317732687162794
MT1HL1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
PLD5	Tumor-gain LOCKs	common PMDs	-0.970808237212925	breastNormalVsTN_Basal.T	Tumor	-0.970808237212925
NLRP3	Tumor-gain LOCKs	common PMDs	-0.9393905230992	breastNormalVsTN_Basal.T	Tumor	-0.9393905230992
OR2B11	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
GCSAML	Tumor-gain LOCKs	common PMDs	-0.96174002342581	breastNormalVsTN_Basal.T	Tumor	-0.96174002342581
OR2C3	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MIR6072	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
PRKCQ-AS1	Shared LOCKs	common PMDs	-0.0941195272598477	breastNormalVsTN_Basal.T	Tumor	-0.0941195272598477
MIR4293	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
C10orf67	Tumor-loss LOCKs	common PMDs	-0.568023454231222	breastNormalVsTN_Basal.T	Tumor	-0.568023454231222
MYO3A	Tumor-gain LOCKs	common PMDs	-0.950215556270083	breastNormalVsTN_Basal.T	Tumor	-0.950215556270083
GAD2	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
WDFY4	Tumor-loss LOCKs	common PMDs	-0.987301983186601	breastNormalVsTN_Basal.T	Tumor	-0.987301983186601
LRRC18	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MIR4294	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
VSTM4	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FAM170B-AS1	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FAM170B	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
C10orf71-AS1	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
C10orf71	Tumor-loss LOCKs	common PMDs	-0.976689243492373	breastNormalVsTN_Basal.T	Tumor	-0.976689243492373
DRGX	Tumor-loss LOCKs	common PMDs	-0.431773446222299	breastNormalVsTN_Basal.T	Tumor	-0.431773446222299
OGDHL	Tumor-loss LOCKs	common PMDs	-0.153901823979769	breastNormalVsTN_Basal.T	Tumor	-0.153901823979769
LINC00844	Tumor-loss LOCKs	common PMDs	-0.76930347044305	breastNormalVsTN_Basal.T	Tumor	-0.76930347044305
PHYHIPL	Tumor-loss LOCKs	common PMDs	-0.635591076623031	breastNormalVsTN_Basal.T	Tumor	-0.635591076623031
FAM13C	Tumor-loss LOCKs	common PMDs	-0.901859582456938	breastNormalVsTN_Basal.T	Tumor	-0.901859582456938
COL13A1	Tumor-loss LOCKs	common PMDs	-0.207274882650766	breastNormalVsTN_Basal.T	Tumor	-0.207274882650766
LINC00856	Tumor-loss LOCKs	common PMDs	-0.990711158497015	breastNormalVsTN_Basal.T	Tumor	-0.990711158497015
EIF5AL1	Tumor-loss LOCKs	common PMDs	0.773982105111015	breastNormalVsTN_Basal.T	Tumor	0.773982105111015
SFTPA2	Tumor-loss LOCKs	common PMDs	-0.962106341117811	breastNormalVsTN_Basal.T	Tumor	-0.962106341117811
SFTPA1	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
BMS1P21	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MBL1P	Tumor-loss LOCKs	common PMDs	-0.899371322775173	breastNormalVsTN_Basal.T	Tumor	-0.899371322775173
SFTPD	Tumor-loss LOCKs	common PMDs	-0.497029179133403	breastNormalVsTN_Basal.T	Tumor	-0.497029179133403
C10orf120	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
GPR26	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
CPXM2	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
NPS	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FOXI2	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01163	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MIR378C	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TCERG1L	Tumor-gain LOCKs	common PMDs	-0.979786471534508	breastNormalVsTN_Basal.T	Tumor	-0.979786471534508
TCERG1L-AS1	Tumor-gain LOCKs	common PMDs	-0.653366942182475	breastNormalVsTN_Basal.T	Tumor	-0.653366942182475
MUC2	Tumor-loss LOCKs	common PMDs	-0.931062246346885	breastNormalVsTN_Basal.T	Tumor	-0.931062246346885
MUC5AC	Tumor-loss LOCKs	common PMDs	-0.946574856372354	breastNormalVsTN_Basal.T	Tumor	-0.946574856372354
SYT8	Tumor-loss LOCKs	common PMDs	-0.0102900194306847	breastNormalVsTN_Basal.T	Tumor	-0.0102900194306847
TNNI2	Tumor-loss LOCKs	common PMDs	0.17638454915612	breastNormalVsTN_Basal.T	Tumor	0.17638454915612
LSP1	Tumor-loss LOCKs	common PMDs	-0.874207952504552	breastNormalVsTN_Basal.T	Tumor	-0.874207952504552
MIR4298	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01150	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TNNT3	Tumor-loss LOCKs	common PMDs	-0.980940037601965	breastNormalVsTN_Basal.T	Tumor	-0.980940037601965
MRPL23	Tumor-loss LOCKs	common PMDs	0.0604275555360645	breastNormalVsTN_Basal.T	Tumor	0.0604275555360645
MRPL23-AS1	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01219	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
H19	Tumor-loss LOCKs	common PMDs	-0.740537526355709	breastNormalVsTN_Basal.T	Tumor	-0.740537526355709
RIC3	Tumor-loss LOCKs	common PMDs	-0.948231195101053	breastNormalVsTN_Basal.T	Tumor	-0.948231195101053
STK33	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MRGPRX1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MPPED2	Tumor-loss LOCKs	common PMDs	-0.982592785388459	breastNormalVsTN_Basal.T	Tumor	-0.982592785388459
PAUPAR	Tumor-loss LOCKs	common PMDs	-0.976870029462248	breastNormalVsTN_Basal.T	Tumor	-0.976870029462248
RCN1	Tumor-loss LOCKs	common PMDs	1.16088062990506	breastNormalVsTN_Basal.T	Tumor	1.16088062990506
WT1	Tumor-loss LOCKs	common PMDs	0.52872855542066	breastNormalVsTN_Basal.T	Tumor	0.52872855542066
WT1-AS	Tumor-loss LOCKs	common PMDs	-0.274664413164162	breastNormalVsTN_Basal.T	Tumor	-0.274664413164162
CHST1	Shared LOCKs	common PMDs	-0.590158624131193	breastNormalVsTN_Basal.T	Tumor	-0.590158624131193
MIR7154	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OOSP2	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A3	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A2	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A6A	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A4E	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MIR6503	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A4A	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A6E	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A7	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A14	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A5	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A12	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MS4A13	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
SLC22A8	Tumor-loss LOCKs	common PMDs	-0.973360053432921	breastNormalVsTN_Basal.T	Tumor	-0.973360053432921
FGF19	Tumor-loss LOCKs	common PMDs	-0.850596371674947	breastNormalVsTN_Basal.T	Tumor	-0.850596371674947
FGF4	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TENM4	Tumor-gain LOCKs	common PMDs	-0.98299318716405	breastNormalVsTN_Basal.T	Tumor	-0.98299318716405
MIR708	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
MIR5579	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
ARHGAP20	Tumor-loss LOCKs	common PMDs	-0.957071719068232	breastNormalVsTN_Basal.T	Tumor	-0.957071719068232
NCAM1	Tumor-loss LOCKs	common PMDs	-0.659260283092629	breastNormalVsTN_Basal.T	Tumor	-0.659260283092629
NCAM1-AS1	Tumor-loss LOCKs	common PMDs	-0.860391403616532	breastNormalVsTN_Basal.T	Tumor	-0.860391403616532
HTR3B	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
HTR3A	Shared LOCKs	common PMDs	-0.882600595599737	breastNormalVsTN_Basal.T	Tumor	-0.882600595599737
DSCAML1	Tumor-loss LOCKs	common PMDs	-0.942672423783492	breastNormalVsTN_Basal.T	Tumor	-0.942672423783492
USP2-AS1	Tumor-loss LOCKs	common PMDs	-0.110918393981373	breastNormalVsTN_Basal.T	Tumor	-0.110918393981373
THY1	Tumor-loss LOCKs	common PMDs	-0.955740395232272	breastNormalVsTN_Basal.T	Tumor	-0.955740395232272
GRIK4	Shared LOCKs	common PMDs	-0.951054931031493	breastNormalVsTN_Basal.T	Tumor	-0.951054931031493
SCN3B	Shared LOCKs	common PMDs	-0.942803009175166	breastNormalVsTN_Basal.T	Tumor	-0.942803009175166
OR6M1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TMEM225	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR8D4	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR4D5	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR6T1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR10S1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OR10G6	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
NTM-AS1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
OPCML-IT1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
SPATA19	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
IGSF9B	Tumor-gain LOCKs	common PMDs	-0.909616031292628	breastNormalVsTN_Basal.T	Tumor	-0.909616031292628
CACNA2D4	Shared LOCKs	common PMDs	-0.982757477546318	breastNormalVsTN_Basal.T	Tumor	-0.982757477546318
LRTM2	Shared LOCKs	common PMDs	-0.957951488091687	breastNormalVsTN_Basal.T	Tumor	-0.957951488091687
CACNA1C	Shared LOCKs	common PMDs	-0.97941601983328	breastNormalVsTN_Basal.T	Tumor	-0.97941601983328
CACNA1C-IT1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
CACNA1C-AS4	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
CACNA1C-IT3	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
CACNA1C-AS2	Shared LOCKs	common PMDs	-0.898114903102922	breastNormalVsTN_Basal.T	Tumor	-0.898114903102922
CACNA1C-AS1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
PRMT8	Shared LOCKs	common PMDs	-0.978655152165332	breastNormalVsTN_Basal.T	Tumor	-0.978655152165332
FGF6	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
GALNT8	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KCNA6	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KCNA1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KCNA5	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
NTF3	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
ANO2	Tumor-gain LOCKs	common PMDs	-0.964100729670407	breastNormalVsTN_Basal.T	Tumor	-0.964100729670407
OVOS2	Tumor-loss LOCKs	common PMDs	-0.962337889555358	breastNormalVsTN_Basal.T	Tumor	-0.962337889555358
KRT73	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KRT73-AS1	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KRT2	Tumor-loss LOCKs	common PMDs	-0.93696088993459	breastNormalVsTN_Basal.T	Tumor	-0.93696088993459
KRT1	Tumor-loss LOCKs	common PMDs	-0.939918826228537	breastNormalVsTN_Basal.T	Tumor	-0.939918826228537
KRT77	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KRT76	Tumor-loss LOCKs	common PMDs	0.302840662867295	breastNormalVsTN_Basal.T	Tumor	0.302840662867295
KRT3	Tumor-loss LOCKs	common PMDs	-0.79206899665825	breastNormalVsTN_Basal.T	Tumor	-0.79206899665825
MUCL1	Shared LOCKs	common PMDs	-0.711645513422465	breastNormalVsTN_Basal.T	Tumor	-0.711645513422465
TESPA1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
NEUROD4	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KERA	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LUM	Tumor-loss LOCKs	common PMDs	-0.940262442266739	breastNormalVsTN_Basal.T	Tumor	-0.940262442266739
DCN	Tumor-loss LOCKs	common PMDs	-0.978660247060797	breastNormalVsTN_Basal.T	Tumor	-0.978660247060797
MYL2	Tumor-loss LOCKs	common PMDs	0.116839625481699	breastNormalVsTN_Basal.T	Tumor	0.116839625481699
LINC01405	Tumor-loss LOCKs	common PMDs	0.360523070901952	breastNormalVsTN_Basal.T	Tumor	0.360523070901952
TBX5-AS1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FZD10-AS1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FZD10	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
PIWIL1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
RIMBP2	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
ADGRD1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01257	Tumor-gain LOCKs	common PMDs	-0.840452599348994	breastNormalVsTN_Basal.T	Tumor	-0.840452599348994
WASF3	Tumor-loss LOCKs	common PMDs	0.390584698583061	breastNormalVsTN_Basal.T	Tumor	0.390584698583061
GPR12	Tumor-loss LOCKs	common PMDs	-0.490015267456063	breastNormalVsTN_Basal.T	Tumor	-0.490015267456063
LINC00437	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC00366	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
FREM2	Tumor-loss LOCKs	common PMDs	-0.671959070211911	breastNormalVsTN_Basal.T	Tumor	-0.671959070211911
FREM2-AS1	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
STOML3	Tumor-loss LOCKs	common PMDs	-0.933389786642617	breastNormalVsTN_Basal.T	Tumor	-0.933389786642617
LINC01055	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
SIAH3	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LRRC63	Tumor-loss LOCKs	common PMDs	-0.903170752004113	breastNormalVsTN_Basal.T	Tumor	-0.903170752004113
LINC00563	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01198	Tumor-loss LOCKs	common PMDs	-0.896387697245674	breastNormalVsTN_Basal.T	Tumor	-0.896387697245674
LINC00354	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
SOX1	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01070	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01043	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01044	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
LINC01500	Tumor-loss LOCKs	common PMDs	-0.839544277254218	breastNormalVsTN_Basal.T	Tumor	-0.839544277254218
RGS6	Tumor-loss LOCKs	common PMDs	-0.756863776283879	breastNormalVsTN_Basal.T	Tumor	-0.756863776283879
MIR7843	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
NRXN3	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
KCNK10	Tumor-gain LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TCL6	Shared LOCKs	common PMDs	-0.900251970770661	breastNormalVsTN_Basal.T	Tumor	-0.900251970770661
TCL1B	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TCL1A	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TUNAR	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TMCO5A	Tumor-loss LOCKs	common PMDs	-0.898575239041444	breastNormalVsTN_Basal.T	Tumor	-0.898575239041444
RORA	Tumor-loss LOCKs	common PMDs	-0.342238425118641	breastNormalVsTN_Basal.T	Tumor	-0.342238425118641
RORA-AS2	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TBC1D21	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
ISLR2	Tumor-loss LOCKs	common PMDs	-0.842813312865949	breastNormalVsTN_Basal.T	Tumor	-0.842813312865949
ISLR	Tumor-loss LOCKs	common PMDs	-0.0554024048892394	breastNormalVsTN_Basal.T	Tumor	-0.0554024048892394
STRA6	Tumor-loss LOCKs	common PMDs	0.882818409359678	breastNormalVsTN_Basal.T	Tumor	0.882818409359678
LINGO1	Tumor-loss LOCKs	common PMDs	-0.351334421304494	breastNormalVsTN_Basal.T	Tumor	-0.351334421304494
LINGO1-AS1	Tumor-loss LOCKs	common PMDs	-0.896953834935665	breastNormalVsTN_Basal.T	Tumor	-0.896953834935665
LINGO1-AS2	Tumor-loss LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
ST8SIA2	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
C15orf32	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
SSTR5-AS1	Shared LOCKs	common PMDs	-0.940515259854965	breastNormalVsTN_Basal.T	Tumor	-0.940515259854965
SSTR5	Shared LOCKs	common PMDs	-0.889381660020857	breastNormalVsTN_Basal.T	Tumor	-0.889381660020857
C1QTNF8	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
CACNA1H	Shared LOCKs	common PMDs	-0.977135213626627	breastNormalVsTN_Basal.T	Tumor	-0.977135213626627
TPSG1	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
TPSB2	Shared LOCKs	common PMDs	-0.994520166334262	breastNormalVsTN_Basal.T	Tumor	-0.994520166334262
