Treatment	Gene	RelativeExp	Bio_rep
shETS1	ETS1	0.0739097368787498	rep_2
shETS1	ETS1	0.0631102273080412	rep_2
shETS1	ETS1	0.0652996550902121	rep_2
shScramble	ETS1	1.09432481870909	rep_3
shScramble	ETS1	1.02326633674797	rep_3
shScramble	ETS1	0.893027975558413	rep_3
shETS1	ETS1	0.215845732416951	rep_3
shETS1	ETS1	0.211720653363827	rep_3
shETS1	ETS1	0.181768153669501	rep_3
shScramble	MNX1	0.932542058661031	rep_1
shScramble	MNX1	0.931019869145796	rep_1
shScramble	MNX1	1.15178819350823	rep_1
shETS1	MNX1	0.154978350903145	rep_1
shETS1	MNX1	0.132686273459759	rep_1
shETS1	MNX1	0.387648794255339	rep_1
shScramble	MNX1	1.10513487215186	rep_2
shScramble	MNX1	0.89042880055937	rep_2
shScramble	MNX1	1.01621480609839	rep_2
shETS1	MNX1	0.350020682502237	rep_2
shETS1	MNX1	0.287883030637108	rep_2
shETS1	MNX1	0.32359527643105	rep_2
shScramble	MNX1	0.845651569512086	rep_3
shScramble	MNX1	1.10570320810561	rep_3
shScramble	MNX1	1.0694733602134	rep_3
shETS1	MNX1	0.678115331475738	rep_3
shETS1	MNX1	0.586925200751743	rep_3
shETS1	MNX1	0.611975114393531	rep_3
shScramble	OCLN	0.999031715581036	rep_1
shScramble	OCLN	0.933255150073561	rep_1
shScramble	OCLN	1.07255687024443	rep_1
shETS1	OCLN	0.323908167891914	rep_1
shETS1	OCLN	0.326660338754744	rep_1
shETS1	OCLN	0.269033854858012	rep_1
shScramble	OCLN	0.973542400505597	rep_2
shScramble	OCLN	0.972012570584916	rep_2
shScramble	OCLN	1.05675241135102	rep_2
shETS1	OCLN	0.50547922330981	rep_2
shETS1	OCLN	0.482156619154267	rep_2
shETS1	OCLN	0.425050921146521	rep_2
shScramble	OCLN	1.02517926582947	rep_3
shScramble	OCLN	1.06455867376886	rep_3
shScramble	OCLN	0.916285012909111	rep_3
shETS1	OCLN	0.301211726255829	rep_3
shETS1	OCLN	0.295760255472984	rep_3
shETS1	OCLN	0.299578350035715	rep_3
shScramble	OTULINL	0.900879310774256	rep_1
shScramble	OTULINL	1.17707493189484	rep_1
shScramble	OTULINL	0.943038180284445	rep_1
shETS1	OTULINL	0.243353928311389	rep_1
shETS1	OTULINL	0.251509438746483	rep_1
shETS1	OTULINL	0.240779016113417	rep_1
shScramble	OTULINL	1.06942375669054	rep_2
shScramble	OTULINL	0.915886594494814	rep_2
shScramble	OTULINL	1.02095939529986	rep_2
shETS1	OTULINL	0.389073412033157	rep_2
shETS1	OTULINL	0.470537516166442	rep_2
shETS1	OTULINL	0.451789104167323	rep_2
shScramble	OTULINL	1.07902444940838	rep_3
shScramble	OTULINL	1.05629585621489	rep_3
shScramble	OTULINL	0.87737072339997	rep_3
shETS1	OTULINL	0.459353809080538	rep_3
shETS1	OTULINL	0.417201083185012	rep_3
shETS1	OTULINL	0.350937212276969	rep_3
shScramble	SYK	0.970847331164738	rep_1
shScramble	SYK	1.02911268293484	rep_1
shScramble	SYK	1.0008894887921	rep_1
shETS1	SYK	0.138299018663742	rep_1
shETS1	SYK	0.1133584529961	rep_1
shETS1	SYK	0.14545255689068	rep_1
shScramble	SYK	0.973902119598597	rep_2
shScramble	SYK	0.958383188575438	rep_2
shScramble	SYK	1.07138485271873	rep_2
shETS1	SYK	0.195627031309322	rep_2
shETS1	SYK	0.222415352304647	rep_2
shETS1	SYK	0.196191740908596	rep_2
shScramble	SYK	1.06568831332411	rep_3
shScramble	SYK	1.01851760661389	rep_3
shScramble	SYK	0.921300392046515	rep_3
shETS1	SYK	0.087000653124989	rep_3
shETS1	SYK	0.11357591277016	rep_3
shETS1	SYK	0.075503319001403	rep_3
